 o, o,1
 o, o,1
 n, m,0.932
 o, a,1
 r, r,0.982
 m, m,1
 a, a,0.983
 l, l,0.999
 i, i,0.996
 z, z,1
 a, a,1
 t, t,0.991
 i, i,1
 o, a,0.632
 n, n,0.736
 o, g,1
 r, f,0.72
 m, a,0.628
 a, e,0.795
 l, l,0.997
 i, i,0.769
 z, t,0.844
 a, e,0.758
 t, t,0.989
 i, l,0.808
 o, g,0.811
 n, n,1
 o, o,0.99
 r, r,1
 m, m,0.999
 a, m,0.867
 l, l,0.997
 i, i,1
 z, z,0.956
 a, a,0.848
 t, t,0.976
 i, i,1
 o, o,1
 n, m,0.67
 o, g,1
 r, r,1
 m, m,0.58
 a, n,1
 l, l,0.789
 i, i,0.998
 z, y,0.999
 a, a,0.826
 t, t,1
 i, l,0.75
 o, g,0.994
 n, g,0.782
 o, g,1
 r, f,0.645
 m, w,1
 a, g,0.641
 l, l,0.979
 i, i,0.998
 z, z,0.957
 a, q,0.867
 t, t,0.999
 i, i,1
 o, g,1
 n, n,0.999
 o, o,1
 r, r,1
 m, m,1
 a, a,1
 l, b,0.953
 i, i,0.592
 z, s,0.618
 a, a,1
 t, t,1
 i, i,0.981
 o, o,0.999
 n, n,0.927
 o, a,0.941
 r, p,0.845
 m, m,1
 a, m,1
 l, l,1
 i, i,0.999
 z, s,0.937
 a, m,1
 t, f,0.886
 i, f,0.511
 o, o,0.99
 n, m,0.984
 o, o,0.998
 r, c,0.714
 m, m,1
 a, a,1
 l, l,1
 i, i,0.996
 z, z,0.997
 a, a,0.998
 t, t,0.499
 i, i,0.999
 o, o,1
 n, n,0.915
 o, o,1
 r, f,0.871
 m, m,1
 a, a,1
 l, l,0.999
 i, l,0.961
 z, z,0.936
 a, a,1
 t, t,1
 i, l,0.658
 o, g,0.999
 n, n,1
 o, o,1
 r, r,1
 m, m,0.997
 a, g,0.859
 l, l,1
 i, i,0.979
 z, m,0.991
 a, a,0.992
 t, t,0.843
 i, i,0.982
 o, o,1
 n, n,1
 o, o,1
 r, r,0.975
 m, m,1
 a, a,0.981
 l, l,0.954
 i, i,0.973
 z, z,0.999
 a, a,0.999
 t, t,0.991
 i, i,0.803
 o, o,1
 n, n,0.986
 o, o,1
 r, r,0.999
 m, a,0.998
 a, a,1
 l, l,0.993
 i, i,0.908
 z, z,0.444
 a, e,0.544
 t, t,1
 i, i,0.644
 o, o,0.954
 n, n,1
 o, d,0.995
 r, r,1
 m, m,1
 a, a,1
 l, l,0.988
 i, i,0.999
 z, y,0.936
 a, e,0.723
 t, t,0.5
 i, r,0.998
 o, a,0.996
 n, m,1
 o, d,0.999
 r, a,0.757
 m, m,0.996
 a, m,0.955
 l, h,0.541
 i, l,0.789
 z, a,0.971
 a, m,0.953
 t, z,0.551
 i, y,0.715
 o, a,0.904
 n, a,0.938
 o, e,0.764
 r, r,0.925
 m, m,0.996
 a, a,0.921
 l, l,0.999
 i, i,0.941
 z, z,1
 a, a,0.942
 t, t,0.999
 i, i,0.993
 o, o,0.499
 n, m,0.999
 o, o,0.977
 r, m,0.994
 m, m,1
 a, m,0.994
 l, l,0.885
 i, r,1
 z, m,0.502
 a, m,0.988
 t, z,0.982
 i, r,1
 o, m,0.839
 n, m,1
 u, w,0.686
 r, r,0.533
 r, r,0.837
 o, o,1
 u, u,0.987
 n, n,0.953
 d, g,0.998
 e, e,1
 d, d,1
 u, u,0.995
 r, l,0.985
 r, r,0.799
 o, o,0.999
 u, w,0.991
 n, m,0.987
 d, d,1
 e, a,0.771
 d, d,1
 u, d,1
 r, r,1
 r, r,0.962
 o, o,1
 u, o,1
 n, n,0.999
 d, d,0.958
 e, a,0.759
 d, d,1
 u, u,0.933
 r, f,0.776
 r, p,0.965
 o, g,1
 u, u,0.901
 n, n,0.993
 d, d,1
 e, e,0.969
 d, d,1
 u, a,1
 r, r,1
 r, r,0.989
 o, a,0.886
 u, u,0.863
 n, n,1
 d, d,1
 e, e,1
 d, d,1
 u, w,0.651
 r, r,1
 r, r,1
 o, o,1
 u, w,1
 n, n,0.766
 d, d,1
 e, e,1
 d, z,0.698
 u, u,0.997
 r, v,0.979
 r, y,0.965
 o, o,1
 u, u,0.998
 n, n,0.999
 d, d,1
 e, e,0.977
 d, d,1
 u, o,0.997
 r, r,0.961
 r, r,1
 o, o,1
 u, g,0.524
 n, n,0.852
 d, d,1
 e, e,0.919
 d, d,0.991
 u, u,0.999
 r, r,1
 r, p,0.841
 o, g,1
 u, v,0.998
 n, n,1
 d, d,1
 e, e,0.986
 d, d,1
 u, u,0.917
 r, r,0.703
 r, r,0.996
 o, a,0.856
 u, u,0.988
 n, m,0.993
 d, v,0.937
 e, a,0.742
 d, a,0.708
 u, u,0.927
 r, r,1
 r, c,0.75
 o, o,1
 u, v,0.998
 n, n,0.974
 d, d,1
 e, e,1
 d, d,0.961
 u, u,0.634
 r, r,1
 r, r,1
 o, o,1
 u, u,0.822
 n, n,1
 d, d,1
 e, r,0.888
 d, d,1
 u, u,1
 r, r,0.999
 r, r,1
 o, o,1
 u, u,1
 n, n,0.984
 d, d,1
 e, e,0.992
 d, d,1
 u, u,1
 r, z,0.896
 r, r,0.43
 o, o,1
 u, a,0.705
 n, n,1
 d, d,1
 e, e,0.998
 d, d,0.999
 u, m,0.856
 r, r,1
 r, c,0.996
 o, a,0.518
 u, m,0.718
 n, m,0.991
 d, d,0.987
 e, v,0.698
 d, d,1
 u, m,0.61
 r, r,0.995
 r, m,0.971
 o, o,1
 u, u,0.735
 n, m,0.898
 d, d,0.972
 e, e,0.583
 d, i,0.542
 u, u,0.807
 r, r,1
 r, c,0.704
 o, o,1
 u, w,0.867
 n, n,1
 d, d,0.997
 e, x,0.679
 d, d,0.998
 u, a,0.662
 r, p,0.995
 r, v,0.921
 o, a,0.961
 u, u,1
 n, n,1
 d, d,1
 e, a,0.999
 d, d,1
 u, k,0.702
 r, r,1
 r, r,0.957
 o, g,1
 u, u,0.951
 n, n,0.996
 d, f,0.995
 e, f,0.797
 d, q,0.622
 u, o,0.989
 r, p,1
 r, r,1
 o, o,1
 u, u,1
 n, e,1
 d, d,1
 e, a,0.997
 d, d,0.989
 u, o,0.889
 r, r,0.526
 r, r,0.999
 o, o,1
 u, u,0.877
 n, m,0.998
 d, d,1
 e, a,0.99
 d, d,1
 u, w,0.852
 r, r,0.734
 r, r,1
 o, o,0.999
 u, w,0.996
 n, n,0.527
 d, a,0.612
 e, f,0.933
 d, d,1
 u, u,0.572
 r, r,0.891
 r, r,0.998
 o, o,1
 u, u,0.748
 n, n,0.991
 d, a,0.995
 e, m,0.955
 d, a,0.826
 u, u,1
 r, r,1
 r, r,0.964
 o, g,0.99
 u, u,0.892
 n, n,0.998
 d, d,1
 e, e,0.997
 d, d,1
 u, u,1
 r, p,0.886
 r, r,0.821
 o, o,1
 u, o,0.999
 n, m,0.996
 d, d,0.639
 e, e,0.864
 d, d,1
 u, u,0.651
 r, f,0.962
 r, q,0.68
 o, o,1
 u, u,1
 n, w,0.493
 d, l,0.975
 e, o,1
 d, d,0.811
 u, w,1
 r, r,0.999
 r, r,1
 o, o,1
 u, w,0.999
 n, m,0.987
 d, a,1
 e, m,0.974
 d, a,0.915
 u, u,0.939
 r, r,0.909
 r, r,0.983
 o, o,1
 u, u,0.997
 n, n,1
 d, d,1
 e, e,1
 d, d,1
 u, e,0.959
 r, f,1
 r, r,0.994
 o, o,1
 u, o,1
 n, o,1
 d, d,1
 e, a,0.99
 d, d,1
 u, u,1
 r, r,0.678
 r, p,1
 o, o,1
 u, u,0.998
 n, o,0.899
 d, d,1
 e, a,0.954
 d, f,0.843
 u, w,0.637
 r, f,0.995
 r, c,0.756
 o, o,0.999
 u, u,0.992
 n, m,0.819
 d, b,0.999
 e, a,0.363
 d, k,0.592
 u, u,0.994
 r, r,0.937
 r, r,1
 o, o,0.926
 u, w,0.989
 n, n,0.813
 d, d,1
 e, a,0.797
 d, z,0.871
 u, u,0.989
 r, r,0.965
 r, e,0.54
 o, g,0.696
 u, a,0.708
 n, z,0.814
 d, d,1
 e, x,0.987
 d, d,1
 u, w,0.937
 r, r,0.997
 r, c,0.934
 o, o,1
 u, u,0.955
 n, n,0.74
 d, v,0.762
 e, c,0.999
 d, u,0.539
 u, v,1
 r, r,1
 r, r,1
 o, o,1
 u, u,0.873
 n, o,0.956
 d, d,1
 e, e,1
 d, d,1
 u, u,0.901
 r, r,0.882
 r, c,0.556
 o, a,0.995
 u, w,0.977
 n, m,0.978
 d, u,0.484
 e, e,0.979
 d, a,0.999
 u, u,0.967
 r, r,0.999
 r, r,0.854
 o, o,1
 u, u,0.888
 n, o,0.94
 d, d,1
 e, e,0.748
 d, d,1
 u, u,0.958
 r, r,1
 r, r,1
 o, o,1
 u, u,0.974
 n, n,0.995
 d, d,1
 e, e,1
 d, d,1
 u, u,0.94
 r, k,0.787
 r, e,0.991
 o, o,1
 u, u,0.654
 n, w,0.999
 d, y,0.904
 e, k,0.506
 d, g,0.558
 u, o,0.978
 r, c,0.883
 r, r,0.996
 o, o,0.999
 u, w,0.576
 n, m,1
 d, d,0.75
 e, m,0.988
 d, v,0.511
 u, a,0.992
 r, r,0.673
 r, r,0.78
 o, a,1
 u, u,0.945
 n, n,1
 d, d,0.981
 e, e,0.942
 d, j,0.748
 u, u,0.991
 r, n,0.683
 r, n,0.541
 o, o,1
 u, a,0.935
 n, n,1
 d, d,1
 e, c,0.958
 d, d,1
 u, u,0.993
 r, r,1
 r, r,1
 o, o,1
 u, u,0.998
 n, n,1
 d, d,1
 e, r,0.995
 d, d,1
 u, a,0.49
 r, r,0.802
 r, r,0.994
 o, o,1
 u, a,0.867
 n, d,1
 d, d,1
 e, g,0.961
 d, d,0.993
 u, u,0.529
 r, n,0.865
 r, n,0.707
 o, a,0.86
 u, w,0.969
 n, m,0.999
 d, u,0.645
 e, m,0.979
 d, u,0.934
 u, w,0.909
 r, r,0.995
 r, r,0.971
 o, o,0.754
 u, u,0.801
 n, n,1
 d, a,0.362
 e, e,0.628
 d, d,1
 u, w,0.998
 r, m,0.595
 r, r,0.654
 o, o,0.957
 u, w,1
 n, m,0.902
 d, d,1
 e, z,0.984
 d, d,1
 u, u,0.964
 r, e,0.614
 r, t,0.956
 o, o,1
 u, x,0.472
 n, m,0.998
 d, a,0.999
 e, w,0.421
 d, a,0.995
 u, u,0.991
 r, t,0.948
 r, r,0.994
 o, g,0.941
 u, w,0.999
 n, n,0.536
 d, z,0.915
 e, e,0.608
 d, d,0.996
 u, w,0.948
 r, t,0.761
 r, t,0.833
 o, a,0.999
 u, w,0.517
 n, w,0.656
 d, d,0.999
 e, a,0.71
 d, h,0.507
 u, w,1
 r, r,1
 r, r,0.999
 o, a,0.985
 u, w,0.988
 n, m,1
 d, j,1
 e, m,0.505
 d, j,0.906
 u, a,0.975
 r, l,0.627
 r, f,0.86
 o, o,1
 u, w,0.455
 n, n,0.999
 d, d,1
 e, e,0.998
 d, t,0.978
 u, u,0.985
 r, c,0.839
 r, c,0.742
 o, o,1
 u, u,0.984
 n, n,0.78
 d, d,0.999
 e, c,0.956
 d, x,1
 u, a,0.998
 r, r,1
 r, r,0.999
 o, z,0.906
 u, x,0.97
 n, a,0.976
 d, a,0.772
 e, e,1
 d, t,0.985
 u, a,0.997
 r, p,0.888
 r, p,0.747
 o, o,1
 u, u,0.946
 n, a,0.497
 d, b,0.604
 e, o,1
 d, l,0.654
 u, u,0.934
 r, e,0.936
 r, g,0.992
 o, o,1
 u, u,0.994
 n, w,0.999
 d, o,1
 e, g,0.995
 d, g,0.96
 u, u,1
 r, r,0.993
 r, c,0.848
 o, o,1
 u, u,1
 n, n,1
 d, d,1
 e, z,0.986
 d, d,1
 u, w,0.991
 r, p,0.995
 r, r,1
 o, o,0.997
 u, w,0.913
 n, n,0.546
 d, j,0.998
 e, c,0.534
 d, g,0.47
 u, u,0.999
 r, r,0.885
 r, r,0.999
 o, o,1
 u, u,1
 n, n,1
 d, x,0.588
 e, a,1
 d, z,0.78
 u, o,0.978
 r, k,0.716
 r, r,0.994
 o, o,1
 u, a,0.995
 n, y,0.571
 d, d,1
 e, a,0.999
 d, d,1
 u, u,0.95
 r, k,0.966
 r, k,0.997
 o, o,1
 u, u,0.971
 n, a,0.996
 d, o,1
 e, e,0.999
 d, o,1
 u, u,0.994
 r, f,0.777
 r, f,0.708
 o, o,1
 u, u,0.974
 n, n,0.996
 d, d,1
 e, p,1
 d, d,1
 u, w,1
 r, c,0.951
 r, r,0.715
 o, o,1
 u, w,0.798
 n, w,0.984
 d, j,1
 e, a,0.886
 d, b,0.526
 u, o,0.865
 r, r,0.995
 r, r,1
 o, p,0.988
 u, a,1
 n, n,1
 d, t,0.994
 e, p,0.97
 d, d,1
 u, a,0.931
 r, f,0.992
 r, q,1
 o, o,1
 u, u,0.999
 n, n,0.993
 d, d,1
 e, z,0.534
 d, v,0.467
 u, u,0.983
 r, p,0.832
 r, r,0.979
 o, g,1
 u, u,1
 n, k,1
 d, d,1
 e, p,0.583
 d, d,1
 u, z,0.664
 r, f,0.916
 r, r,0.94
 o, g,0.85
 u, g,0.919
 n, o,0.983
 d, d,0.998
 e, e,1
 d, f,0.867
 u, w,0.999
 r, r,0.847
 r, r,0.973
 o, m,0.999
 u, w,1
 n, m,0.983
 d, d,1
 e, z,0.425
 d, d,0.995
 u, u,0.914
 r, r,0.998
 r, r,1
 o, o,1
 u, m,0.944
 n, n,0.583
 d, d,1
 e, z,0.845
 d, d,1
 u, o,0.996
 r, c,0.956
 r, c,0.697
 o, o,1
 u, u,1
 n, n,1
 d, d,1
 e, e,1
 d, d,1
 u, u,0.529
 r, p,0.618
 r, f,0.953
 o, a,1
 u, w,0.997
 n, m,0.988
 d, d,0.995
 e, c,0.998
 d, d,1
 u, a,0.999
 r, r,0.988
 r, r,0.785
 o, o,0.992
 u, e,0.946
 n, n,1
 d, z,0.822
 e, e,0.995
 d, z,0.941
 u, u,0.92
 r, n,0.556
 r, r,0.551
 o, a,0.995
 u, m,0.949
 n, m,0.999
 d, u,0.345
 e, e,0.934
 d, u,0.717
 u, u,0.675
 r, p,0.85
 r, r,0.999
 o, o,1
 u, o,0.999
 n, g,1
 d, d,1
 e, e,0.952
 d, d,1
 u, a,0.999
 r, r,1
 r, r,0.991
 o, o,1
 u, u,0.65
 n, n,1
 d, d,1
 e, z,0.602
 d, d,1
 u, u,1
 r, r,0.872
 r, c,0.515
 o, g,1
 u, n,0.818
 n, n,1
 d, d,1
 e, q,0.531
 d, y,0.492
 u, v,0.999
 r, r,0.548
 r, f,0.998
 o, o,1
 u, w,0.967
 n, m,0.999
 d, d,0.997
 e, z,0.736
 d, j,0.999
 u, u,0.556
 r, r,0.914
 r, r,0.996
 o, o,1
 u, u,1
 n, n,1
 d, d,1
 e, c,0.982
 d, d,1
 u, o,0.991
 r, a,0.997
 r, a,0.512
 o, o,1
 u, v,0.79
 n, m,0.578
 d, o,1
 e, e,0.967
 d, o,0.999
 u, m,0.691
 r, z,0.68
 r, z,0.612
 o, o,1
 u, u,0.891
 n, m,0.999
 d, d,1
 e, a,0.754
 d, a,0.998
 u, w,0.982
 r, l,0.892
 r, f,0.952
 o, o,0.836
 u, u,0.994
 n, n,0.546
 d, d,1
 e, n,0.344
 d, z,0.693
 u, u,0.723
 r, c,0.809
 r, r,0.565
 o, o,1
 u, u,0.787
 n, a,0.848
 d, d,0.998
 e, e,1
 d, g,0.7
 u, u,0.994
 r, r,1
 r, r,1
 o, o,1
 u, u,1
 n, n,1
 d, d,1
 e, e,1
 d, d,1
 u, u,1
 r, r,0.999
 r, r,1
 o, o,1
 u, u,1
 n, n,1
 d, d,0.997
 e, p,0.997
 d, d,0.996
 u, a,0.946
 r, n,0.989
 r, r,0.835
 o, o,1
 u, z,0.971
 n, n,0.843
 d, z,0.726
 e, e,0.999
 d, x,0.996
 u, u,0.974
 r, r,1
 r, r,1
 o, o,1
 u, w,0.991
 n, m,0.979
 d, d,1
 e, a,0.812
 d, d,1
 u, u,0.705
 r, k,0.418
 r, e,0.986
 o, o,0.994
 u, v,1
 n, n,0.978
 d, d,1
 e, e,1
 d, d,0.99
 u, u,0.994
 r, y,0.977
 r, y,0.542
 o, o,1
 u, u,0.843
 n, n,0.887
 d, d,1
 e, c,0.613
 d, a,0.707
 u, a,0.596
 r, r,0.753
 r, m,0.981
 o, o,1
 u, a,0.998
 n, a,0.695
 d, d,1
 e, a,0.805
 d, d,1
 u, o,1
 r, r,0.997
 r, r,0.995
 o, o,0.58
 u, u,1
 n, u,0.971
 d, d,1
 e, p,1
 d, d,0.995
 u, u,0.818
 r, r,1
 r, r,0.978
 o, o,1
 u, u,0.539
 n, w,0.999
 d, g,1
 e, f,0.617
 d, g,1
 u, a,0.879
 r, r,1
 r, r,0.758
 o, o,1
 u, w,0.74
 n, n,0.936
 d, d,1
 e, c,0.989
 d, d,1
 u, u,0.991
 r, r,0.821
 r, r,0.939
 o, m,0.478
 u, m,0.949
 n, m,0.964
 d, d,1
 e, a,0.872
 d, d,0.996
 u, o,0.98
 r, e,0.969
 r, k,0.869
 o, o,1
 u, u,0.755
 n, a,0.974
 d, o,1
 e, z,0.999
 d, z,0.999
 u, v,0.487
 r, r,0.926
 r, r,0.998
 o, o,1
 u, u,0.797
 n, n,0.939
 d, d,0.823
 e, a,0.681
 d, v,0.943
 u, u,0.889
 r, r,0.559
 r, r,0.976
 o, a,0.714
 u, u,0.674
 n, e,0.68
 d, d,1
 e, e,1
 d, d,1
 u, o,0.949
 r, r,1
 r, n,0.597
 o, o,1
 u, u,0.998
 n, n,1
 d, d,1
 e, e,0.998
 d, d,1
 u, u,1
 r, r,0.999
 r, r,1
 o, o,1
 u, u,0.999
 n, m,0.546
 d, d,0.999
 e, e,0.998
 d, d,1
 u, v,1
 r, r,1
 r, r,1
 o, g,1
 u, k,0.992
 n, o,0.989
 d, d,1
 e, p,0.972
 d, d,1
 u, u,0.99
 r, r,0.96
 r, r,0.848
 o, o,1
 u, w,0.532
 n, n,0.579
 d, d,0.998
 e, e,0.996
 d, d,1
 u, o,1
 r, x,0.552
 r, z,0.899
 o, o,1
 u, o,0.999
 n, d,0.98
 d, y,0.947
 e, e,1
 d, y,0.995
 u, a,0.977
 r, r,1
 r, r,1
 o, o,0.999
 u, a,0.648
 n, a,0.735
 d, d,1
 e, z,0.923
 d, d,1
 u, u,0.993
 r, r,0.992
 r, r,1
 o, g,0.997
 u, u,0.949
 n, o,0.571
 d, d,1
 e, g,1
 d, d,1
 u, u,0.985
 r, r,0.966
 r, c,0.673
 o, a,0.96
 u, u,0.99
 n, m,0.996
 d, d,1
 e, a,0.996
 d, d,0.853
 u, u,0.922
 r, c,0.711
 r, c,0.608
 o, o,0.999
 u, u,0.754
 n, m,0.997
 d, e,0.622
 e, a,0.878
 d, d,0.694
 u, w,0.983
 r, t,0.672
 r, r,1
 o, o,1
 u, v,0.823
 n, m,0.978
 d, d,1
 e, e,1
 d, d,1
 u, a,0.667
 r, m,0.997
 r, m,0.988
 o, o,0.999
 u, a,0.861
 n, m,0.995
 d, a,0.496
 e, z,0.642
 d, a,0.581
 u, o,1
 r, r,1
 r, r,0.999
 o, o,1
 u, u,0.96
 n, n,1
 d, d,1
 e, a,0.956
 d, d,1
 u, u,1
 r, r,1
 r, r,1
 o, o,1
 u, u,0.989
 n, n,1
 d, d,1
 e, e,0.868
 d, d,1
 u, u,1
 r, r,1
 r, r,1
 o, o,1
 u, u,0.538
 n, n,0.854
 d, d,1
 e, e,0.999
 d, d,1
 u, u,0.553
 r, z,0.94
 r, r,0.999
 o, m,0.496
 u, u,0.974
 n, m,0.988
 d, w,1
 e, m,0.802
 d, a,0.737
 u, u,0.998
 r, r,0.955
 r, r,0.969
 o, o,1
 u, o,0.999
 n, n,1
 d, d,0.999
 e, e,0.999
 d, d,1
 u, v,0.64
 r, c,0.838
 r, c,0.487
 o, o,1
 u, u,0.98
 n, a,0.558
 d, d,1
 e, p,0.499
 d, a,0.993
 u, m,0.655
 r, r,0.999
 r, r,0.998
 o, a,0.987
 u, u,0.924
 n, m,0.992
 d, d,1
 e, e,0.957
 d, d,1
 u, o,0.745
 r, r,1
 r, r,0.608
 o, o,1
 u, u,0.989
 n, m,0.996
 d, d,1
 e, e,1
 d, i,0.991
 u, g,0.692
 r, f,0.764
 r, r,0.855
 o, o,0.998
 u, s,0.646
 n, n,1
 d, d,1
 e, e,1
 d, d,1
 u, u,0.963
 r, r,0.979
 r, r,0.925
 o, o,0.999
 u, o,0.804
 n, m,1
 d, d,1
 e, a,0.89
 d, d,0.998
 u, o,0.954
 r, r,0.997
 r, r,0.997
 o, o,1
 u, v,0.746
 n, n,1
 d, d,0.999
 e, f,1
 d, d,1
 u, o,1
 r, y,0.852
 r, y,0.961
 o, o,0.892
 u, v,0.556
 n, u,0.392
 d, i,0.982
 e, p,0.791
 d, d,0.78
 u, w,0.998
 r, c,0.69
 r, c,0.9
 o, o,1
 u, u,0.998
 n, m,0.953
 d, o,0.999
 e, e,0.703
 d, a,1
 u, w,0.999
 r, r,1
 r, p,0.999
 o, a,0.868
 u, w,0.996
 n, m,0.988
 d, d,0.978
 e, g,1
 d, d,1
 u, u,0.993
 r, n,0.832
 r, n,0.684
 o, o,1
 u, u,0.999
 n, m,0.593
 d, d,0.998
 e, e,0.995
 d, d,0.969
 u, m,1
 r, r,1
 r, r,0.993
 o, o,1
 u, u,0.72
 n, n,0.999
 d, d,1
 e, p,0.982
 d, d,0.999
 u, u,0.656
 r, r,1
 r, p,0.984
 o, o,1
 u, a,0.871
 n, n,1
 d, j,0.669
 e, c,0.656
 d, j,0.993
 u, u,0.992
 r, r,0.996
 r, r,0.999
 o, o,1
 u, u,1
 n, o,1
 d, g,0.838
 e, e,1
 d, g,0.993
 u, u,0.923
 r, r,0.837
 r, c,0.949
 o, o,1
 u, u,0.905
 n, n,0.832
 d, d,0.999
 e, a,0.843
 d, d,0.998
 u, u,1
 r, r,1
 r, r,1
 o, o,1
 u, u,1
 n, n,1
 d, d,0.995
 e, e,0.878
 d, v,0.974
 u, e,0.627
 r, x,0.558
 r, r,0.893
 o, a,0.731
 u, e,1
 n, a,0.999
 d, d,0.998
 e, f,0.786
 d, d,1
 u, u,0.997
 r, a,0.999
 r, m,0.42
 o, o,0.772
 u, a,0.987
 n, m,0.999
 d, v,0.997
 e, a,0.627
 d, a,0.932
 u, w,0.976
 r, c,0.644
 r, c,0.942
 o, m,0.411
 u, u,0.907
 n, n,1
 d, d,1
 e, p,0.877
 d, d,1
 a, a,0.979
 k, k,1
 e, c,0.99
 a, a,0.54
 k, u,0.696
 e, a,0.669
 a, m,0.999
 k, u,0.988
 e, a,1
 a, a,1
 k, k,0.994
 e, e,0.431
 a, m,1
 k, d,0.844
 e, e,1
 a, a,0.983
 k, x,0.947
 e, z,0.388
 a, a,1
 k, k,0.987
 e, e,0.868
 a, a,1
 k, k,1
 e, c,0.75
 a, a,1
 k, k,0.974
 e, e,0.999
 a, a,1
 k, k,1
 e, a,0.641
 a, a,0.997
 k, k,0.984
 e, e,0.999
 a, o,0.958
 k, t,0.998
 e, a,0.559
 a, a,1
 k, k,0.992
 e, a,0.694
 a, a,0.997
 k, b,0.857
 e, e,0.992
 a, a,1
 k, d,0.998
 e, w,0.322
 a, e,0.964
 k, k,0.995
 e, a,0.712
 a, a,0.995
 k, k,0.999
 e, e,1
 a, a,0.891
 k, k,1
 e, z,0.959
 a, g,1
 k, e,0.996
 e, e,1
 a, d,0.945
 k, k,0.997
 e, e,0.98
 a, a,0.998
 k, b,0.782
 e, e,0.953
 a, a,1
 k, e,0.535
 e, e,0.999
 a, a,1
 k, z,0.674
 e, m,0.519
 a, a,0.996
 k, c,0.999
 e, a,0.52
 a, a,0.978
 k, u,0.992
 e, c,0.825
 a, a,0.998
 k, k,0.994
 e, c,0.683
 a, m,0.539
 k, e,0.762
 e, z,0.899
 a, a,0.988
 k, u,0.996
 e, e,0.806
 a, a,0.981
 k, k,0.858
 e, a,0.976
 a, a,0.941
 k, k,0.999
 e, e,1
 a, a,0.985
 k, h,0.831
 e, c,1
 a, m,0.429
 k, x,0.999
 e, a,0.628
 a, a,1
 k, h,0.983
 e, e,0.945
 a, a,1
 k, k,0.99
 e, a,0.964
 a, m,0.892
 k, n,0.981
 e, e,0.93
 a, m,1
 k, k,0.967
 e, m,0.916
 a, a,0.884
 k, b,0.773
 e, e,0.993
 a, a,0.792
 k, u,0.986
 e, e,0.999
 a, e,0.6
 k, k,0.584
 e, c,0.659
 a, a,1
 k, e,0.748
 e, e,0.697
 a, a,1
 k, k,0.998
 e, e,0.558
 a, a,0.544
 k, d,0.732
 e, e,0.996
 a, a,1
 k, f,0.654
 e, e,0.537
 a, o,1
 k, h,0.834
 e, e,0.967
 a, h,0.925
 k, x,0.844
 e, m,0.63
 a, a,1
 k, k,1
 e, e,0.892
 a, o,1
 k, f,0.554
 e, c,0.999
 a, m,0.999
 k, u,0.826
 e, m,1
 a, m,0.999
 k, k,0.828
 e, a,0.993
 a, m,0.614
 k, h,0.725
 e, e,0.951
 a, e,0.867
 k, k,0.896
 e, t,0.564
 a, a,0.988
 k, h,0.877
 e, e,0.538
 a, m,0.995
 k, u,0.952
 e, x,0.581
 a, a,0.991
 k, k,1
 e, w,0.581
 a, m,1
 k, v,0.667
 e, m,0.731
 a, m,0.995
 k, k,0.654
 e, a,0.954
 a, a,1
 k, k,0.998
 e, e,0.684
 a, m,0.987
 k, b,0.986
 e, c,0.995
 a, a,1
 k, k,1
 e, z,0.806
 a, a,1
 k, h,0.688
 e, a,0.725
 a, a,1
 k, k,0.996
 e, e,1
 a, a,0.993
 k, k,0.996
 e, a,0.627
 a, m,0.998
 k, u,0.547
 e, a,0.993
 a, a,0.998
 k, k,1
 e, e,1
 a, m,0.999
 k, k,1
 e, e,0.892
 a, o,1
 k, l,0.901
 e, p,0.998
 a, h,0.566
 k, k,0.875
 e, m,0.85
 a, a,0.756
 k, f,0.999
 e, e,1
 a, a,1
 k, k,0.997
 e, c,0.604
 a, a,0.685
 k, x,0.999
 e, a,1
 a, a,1
 k, z,0.932
 e, e,0.986
 a, a,0.993
 k, k,1
 e, c,0.766
 a, a,0.927
 k, b,0.73
 e, e,0.943
 a, a,1
 k, e,0.876
 e, e,1
 a, m,0.82
 k, t,0.506
 e, a,0.993
 a, a,1
 k, k,0.778
 e, m,0.991
 a, z,1
 k, k,0.999
 e, e,0.993
 a, a,1
 k, k,0.627
 e, e,0.551
 a, a,1
 k, k,0.983
 e, e,0.765
 a, o,1
 k, k,0.983
 e, e,0.825
 a, a,1
 k, n,1
 e, a,0.609
 a, a,1
 k, k,0.999
 e, e,1
 a, a,1
 k, k,1
 e, e,1
 a, m,0.991
 k, k,0.699
 e, e,0.999
 a, m,0.588
 k, a,0.807
 e, m,0.963
 a, m,1
 k, h,0.992
 e, a,0.935
 a, a,1
 k, u,0.99
 e, m,0.893
 a, a,0.999
 k, c,0.762
 e, e,1
 a, m,0.956
 k, b,0.571
 e, e,1
 a, a,1
 k, k,0.63
 e, t,0.988
 a, a,0.986
 k, x,0.998
 e, a,0.996
 a, n,0.926
 k, n,0.996
 e, e,0.995
 a, a,0.999
 k, f,0.797
 e, e,0.996
 a, a,1
 k, z,0.459
 e, e,0.979
 a, n,0.929
 k, u,0.959
 e, e,0.704
 a, m,0.919
 k, k,1
 e, e,0.999
 a, a,1
 k, u,0.969
 e, e,0.561
 a, c,0.442
 k, k,0.999
 e, e,1
 a, a,0.981
 k, k,0.999
 e, e,0.959
 a, a,0.905
 k, k,0.825
 e, m,0.797
 a, a,1
 k, k,0.961
 e, e,0.629
 a, m,0.562
 k, z,0.871
 e, e,0.987
 a, a,0.93
 k, x,0.765
